Region,Year,Month,SoilTemperature-10,SoilTemperature-30,SoilTemperature-50,Rainfall,Temperature,Min Temperature,Max Temperature,Humidity,Sunshine,Wind Speed,Surface Pressure,Solar Radiation,SoilTemp30_SMA
2,2001,2,19.88,19.98,20.36,1.0,22.61,16.9,28.56,63.33,7.19,1.98,101039.08,199.25,
2,2001,3,24.08,23.32,23.17,33.0,26.62,20.73,31.84,63.33,8.3525,2.1,100882.56,210.73,
2,2001,4,27.62,27.02,26.77,46.0,29.06,24.71,32.06,65.63,8.3525,2.7,100655.4,251.75,
2,2001,5,28.54,28.29,28.21,402.0,27.69,24.18,32.09,77.39,6.1,2.37,100234.63,253.16,
2,2001,6,30.11,29.82,29.64,386.0,28.03,25.55,31.75,83.17,3.51,3.34,99934.18,172.32,
2,2001,7,30.74,30.53,30.64,202.0,28.83,25.92,31.6,80.26,4.55,3.34,99991.05,146.2475,
2,2001,8,30.99,30.99,30.86,205.0,29.46,25.23,31.5,82.19,5.15,3.01,100129.68,169.4,
2,2001,9,29.83,29.89,29.95,209.0,28.71,24.34,32.42,82.53,4.65,2.14,100499.17,181.66,
2,2001,10,28.0,28.29,28.5,177.0,27.63,22.83,31.44,80.45,5.6,1.59,100864.38,170.22,
2,2001,11,24.83,25.77,26.23,18.0,24.51,19.31,28.89,79.43,6.4,1.4875,101288.73,167.89,
2,2001,12,19.87,21.19,22.04,0.0,19.85,14.89,26.07,76.61,7.19,1.9,101580.18,157.26,26.15833333333333
2,2002,1,18.45,19.53,20.1,22.0,19.71,14.65,22.623,66.97,7.41,1.83,101455.64,179.73,26.218333333333334
2,2002,2,20.55,20.73,20.95,4.0,22.56,16.74,27.97,63.33,8.3525,2.14,101431.43,179.31,26.280833333333334
2,2002,3,24.37,23.65,23.49,51.0,26.25,20.28,30.02,63.33,7.84,2.05,100946.94,226.42,26.308333333333334
2,2002,4,26.09,25.87,25.74,111.0,27.56,22.44,34.02,71.83,8.2,2.84,100670.35,239.38,26.212500000000002
2,2002,5,28.33,27.91,27.71,272.0,27.84,23.92,33.99,75.55,5.62,2.92,100199.37,217.97,26.18083333333333
2,2002,6,29.48,29.28,29.14,373.0,28.32,25.79,31.41,82.13,3.01,3.25,100092.5,172.48,26.135833333333334
2,2002,7,29.52,29.48,29.5,446.0,28.52,25.17,32.41,84.39,3.01,3.25,99955.28,146.2475,26.048333333333336
2,2002,8,30.41,30.17,30.09,272.0,28.62,25.26,32.49,82.87,4.33,3.03,100136.52,146.2475,25.98
2,2002,9,30.26,30.33,30.41,156.0,28.92,25.34,31.69,77.73,5.5,2.39,100561.61,161.44,26.01666666666667
2,2002,10,28.31,28.6,28.84,52.0,27.36,22.99,31.24,78.1,6.72,1.4875,100943.47,179.65,26.0425
2,2002,11,24.3,25.12,25.69,36.0,24.02,19.82,29.75,72.8,6.62,1.73,101161.79,181.46,25.988333333333333
2,2002,12,20.71,22.01,22.62,0.0,20.29,15.98,25.9,70.74,6.34,1.79,101399.14,166.52,26.05666666666667
2,2003,1,16.75,18.2,19.01,0.0,16.24,11.72,22.623,80.9,5.22,2.08,101573.08,169.77,25.945833333333336
2,2003,2,19.98,19.92,20.11,25.0,22.15,16.94,27.97,67.61,7.4,1.96,101323.11,192.07,25.87833333333333
2,2003,3,26.69,26.27,26.08,96.0,24.44,25.81,31.41,63.33,7.17,2.03,101036.27,210.93,26.096666666666668
2,2003,4,29.18,28.67,28.4,123.0,28.91,19.41,30.02,69.07,8.03,2.67,100683.45,226.34,26.33
2,2003,5,30.81,30.46,30.26,140.0,29.46,24.05,34.02,72.03,7.4,2.93,100317.22,230.09,26.542500000000004
2,2003,6,31.56,31.31,31.19,459.25,28.38,16.41,25.9,75.13,3.01,3.34,99921.2,235.82,26.71166666666667
2,2003,7,30.62,30.71,30.76,191.0,29.33,24.38,33.99,82.19,5.04,3.34,100177.74,146.2475,26.814166666666665
2,2003,8,28.07,28.46,28.77,202.0,29.43,26.43,32.41,78.45,5.7,3.32,100186.13,173.26,26.671666666666667
2,2003,9,24.09,25.04,25.63,264.0,28.48,26.55,32.49,79.1,3.66,2.41,100456.55,181.79,26.230833333333333
2,2003,10,20.18,21.39,22.09,134.0,27.76,24.94,31.69,84.1,4.73,1.62,100947.15,166.77,25.63
2,2003,11,29.74,29.47,29.36,0.0,23.99,25.04,31.24,75.2,8.29,1.71,101296.67,168.33,25.992500000000003
2,2003,12,23.08,22.8,22.78,45.0,20.53,19.42,29.75,67.52,5.85,1.85,101500.57,190.69,26.058333333333337
2,2004,1,17.87,19.03,19.56,0.0,18.24,14.0,22.623,75.68,5.31,1.92,101426.39,154.93,26.127499999999998
2,2004,2,19.55,19.83,20.13,0.0,21.84,15.99,22.623,66.45,7.61,2.01,101236.78,183.07,26.12
2,2004,3,24.61,24.08,23.85,9.0,27.14,22.42,22.623,63.33,7.58,3.05,100831.18,216.97,25.9375
2,2004,4,26.04,25.98,25.95,167.0,27.85,23.87,22.623,68.37,6.45,3.15,100588.09,239.01,25.713333333333335
2,2004,5,29.05,28.64,28.4,162.0,30.43,26.33,22.623,68.97,7.84,3.12,100205.31,198.09,25.561666666666667
2,2004,6,29.93,29.57,29.43,459.25,28.51,25.03,22.623,72.57,3.01,2.91,100098.36,231.22,25.416666666666668
2,2004,7,29.33,29.1,29.23,295.0,28.62,25.44,22.623,81.0,3.75,3.34,100114.48,163.49,25.2825
2,2004,8,30.64,30.47,30.44,191.0,29.14,26.51,22.623,81.48,5.58,3.34,100050.98,146.2475,25.450000000000003
2,2004,9,29.18,29.4,29.54,459.25,27.66,25.54,22.623,79.7,3.01,2.96,100553.22,168.67,25.813333333333333
