Region,Year,Month,SoilTemperature-10,SoilTemperature-30,SoilTemperature-50,Rainfall,Temperature,Min Temperature,Max Temperature,Humidity,Sunshine,Wind Speed,Surface Pressure,Solar Radiation
0,2001,1,17.89,19.85,19.94,0.00,17.08,10.13,25.71,80.48,8.92,2.24,101281.92,207.58
0,2001,2,21.95,22.76,22.13,64.00,21.82,14.94,29.49,78.07,8.60,2.06,101059.03,214.45
0,2001,3,26.32,27.46,26.37,21.00,25.91,19.05,33.12,74.81,8.03,2.22,100912.25,253.59
0,2001,4,30.51,31.25,29.97,51.00,28.98,23.57,34.57,75.23,6.84,2.96,100700.03,259.83
0,2001,5,30.05,31.21,30.41,244.00,28.28,23.70,32.84,86.23,4.99,2.66,100247.55,187.60
0,2001,6,29.88,31.05,30.12,355.00,27.53,25.04,30.62,92.00,1.87,3.69,99951.43,135.68
0,2001,7,31.15,31.80,30.82,272.00,28.18,25.34,31.28,89.87,3.84,4.05,100016.29,162.97
0,2001,8,31.93,32.54,31.56,188.00,29.10,26.03,32.18,87.32,4.85,3.32,100137.40,183.63
0,2001,9,31.03,31.98,31.18,207.00,28.30,25.24,31.78,88.77,4.22,2.14,100522.90,169.82
0,2001,10,29.89,30.92,30.24,196.00,27.49,24.03,31.89,87.32,6.51,1.77,100872.53,161.77
0,2001,11,26.40,27.75,27.50,31.00,24.27,20.47,29.74,88.80,6.55,1.57,101290.92,159.79
0,2001,12,20.47,22.21,22.61,0.00,19.01,13.31,26.96,86.00,7.63,2.01,101589.31,185.79
0,2002,1,19.33,20.41,21.08,16.00,18.75,12.98,26.03,84.42,6.94,1.93,101462.89,177.75
0,2002,2,21.23,21.93,22.00,0.00,21.42,14.19,29.41,78.18,9.40,2.27,101447.36,231.49
0,2002,3,26.15,26.33,26.04,14.00,26.10,19.82,32.85,70.65,7.99,2.10,100967.87,244.02
0,2002,4,29.02,29.00,28.94,74.00,27.48,22.78,32.22,78.97,8.59,3.12,100699.94,232.12
0,2002,5,30.49,31.12,30.12,254.00,28.41,24.15,32.75,80.90,7.23,3.29,100208.61,188.26
0,2002,6,30.26,31.18,30.29,846.00,28.24,25.57,31.88,85.03,3.46,3.31,100119.64,137.66
